gid,bld_id,ppty_use,ppty_id,businame,busitype,busiprod,ppty_plt_n,ppty_strn,ppty_addy,busireg_st,busi_regno,busi_inc_y,staf_str,contact,tax_appli,tin_status,tin_no,lt_pd_year,lt_amt_pd,x,y
360,3339,INSTITUTIONAL,I100000358,,MEDIUM,EDUCATION,,,,REGISTERD,12657,18991230,15,,EDUCATIONAL,YES,1109725,,100000,3.186581,6.480665
361,3340,INSTITUTIONAL,I100000359,,MEDIUM,EDUCATION,,,,REGISTERD,12658,18991230,15,,EDUCATIONAL,YES,1109726,,100000,3.185370,6.480956
362,3341,INSTITUTIONAL,I100000360,,MEDIUM,EDUCATION,,,,REGISTERD,12659,18991230,15,,EDUCATIONAL,YES,1109727,,100000,3.183706,6.480827
363,3342,INSTITUTIONAL,I100000361,,MEDIUM,EDUCATION,,,,REGISTERD,12660,18991230,15,,EDUCATIONAL,YES,1109728,,100000,3.184140,6.479641
364,3343,INSTITUTIONAL,I100000362,,MEDIUM,EDUCATION,,,,REGISTERD,12661,18991230,15,,EDUCATIONAL,YES,1109729,,100000,3.182476,6.479133
365,3344,INSTITUTIONAL,I100000363,,MEDIUM,EDUCATION,,,,REGISTERD,12662,18991230,15,,EDUCATIONAL,YES,1109730,,100000,3.181866,6.479692
366,3345,INSTITUTIONAL,I100000364,,MEDIUM,EDUCATION,,,,REGISTERD,12663,18991230,15,,EDUCATIONAL,YES,1109731,,100000,3.182035,6.479577
367,3346,INSTITUTIONAL,I100000365,,MEDIUM,EDUCATION,,,,REGISTERD,12664,18991230,15,,EDUCATIONAL,YES,1109732,,100000,3.182188,6.479467
368,3347,INSTITUTIONAL,I100000366,,MEDIUM,EDUCATION,,,,REGISTERD,12665,18991230,15,,EDUCATIONAL,YES,1109733,,100000,3.182342,6.479677
369,3348,INSTITUTIONAL,I100000367,,MEDIUM,EDUCATION,,,,REGISTERD,12666,18991230,15,,EDUCATIONAL,YES,1109734,,100000,3.182145,6.480295
370,3349,INSTITUTIONAL,I100000368,,MEDIUM,EDUCATION,,,,REGISTERD,12667,18991230,15,,EDUCATIONAL,YES,1109735,,100000,3.182415,6.480019
371,3350,INSTITUTIONAL,I100000369,,MEDIUM,EDUCATION,,,,REGISTERD,12668,18991230,15,,EDUCATIONAL,YES,1109736,,100000,3.182534,6.479933
372,3351,INSTITUTIONAL,I100000370,,MEDIUM,EDUCATION,,,,REGISTERD,12669,18991230,15,,EDUCATIONAL,YES,1109737,,100000,3.182653,6.479849
373,3352,INSTITUTIONAL,I100000371,,MEDIUM,EDUCATION,,,,REGISTERD,12670,18991230,15,,EDUCATIONAL,YES,1109738,,100000,3.182905,6.479611
374,3353,INSTITUTIONAL,I100000372,,MEDIUM,EDUCATION,,,,REGISTERD,12671,18991230,15,,EDUCATIONAL,YES,1109739,,100000,3.182898,6.479734
375,3354,INSTITUTIONAL,I100000373,,MEDIUM,EDUCATION,,,,REGISTERD,12672,18991230,15,,EDUCATIONAL,YES,1109740,,100000,3.183038,6.479686
376,3355,INSTITUTIONAL,I100000374,,MEDIUM,EDUCATION,,,,REGISTERD,12673,18991230,15,,EDUCATIONAL,YES,1109741,,100000,3.183165,6.479905
377,3356,INSTITUTIONAL,I100000375,,MEDIUM,EDUCATION,,,,REGISTERD,12674,18991230,15,,EDUCATIONAL,YES,1109742,,100000,3.183080,6.480149
378,3357,INSTITUTIONAL,I100000376,,MEDIUM,EDUCATION,,,,REGISTERD,12675,18991230,15,,EDUCATIONAL,YES,1109743,,100000,3.183130,6.480206
379,3358,INSTITUTIONAL,I100000377,,MEDIUM,EDUCATION,,,,REGISTERD,12676,18991230,15,,EDUCATIONAL,YES,0,,100000,3.183086,6.480365
380,3359,INSTITUTIONAL,I100000378,,MEDIUM,EDUCATION,,,,REGISTERD,12677,18991230,15,,EDUCATIONAL,YES,1109745,,100000,3.183306,6.480363
381,3360,INSTITUTIONAL,I100000379,,MEDIUM,EDUCATION,,,,REGISTERD,12678,18991230,15,,EDUCATIONAL,YES,1109746,,100000,3.183136,6.480472
382,3361,INSTITUTIONAL,I100000380,,MEDIUM,EDUCATION,,,,REGISTERD,12679,18991230,15,,EDUCATIONAL,YES,1109747,,100000,3.183358,6.480448
383,3362,INSTITUTIONAL,I100000381,,MEDIUM,EDUCATION,,,,REGISTERD,12680,18991230,15,,EDUCATIONAL,YES,1109748,,100000,3.183244,6.480564
384,3363,INSTITUTIONAL,I100000382,,MEDIUM,EDUCATION,,,,REGISTERD,12681,18991230,15,,EDUCATIONAL,YES,1109749,,100000,3.182277,6.480128
385,3364,INSTITUTIONAL,I100000383,,MEDIUM,EDUCATION,,,,REGISTERD,12682,18991230,15,,EDUCATIONAL,YES,1109750,,100000,3.182255,6.480359
386,3365,INSTITUTIONAL,I100000384,,MEDIUM,EDUCATION,,,,REGISTERD,12683,18991230,15,,EDUCATIONAL,YES,1109751,,100000,3.181869,6.480509
387,3366,INSTITUTIONAL,I100000385,,MEDIUM,EDUCATION,,,,REGISTERD,12684,18991230,15,,EDUCATIONAL,YES,1109752,,100000,3.181949,6.480503
388,3367,INSTITUTIONAL,I100000386,,MEDIUM,EDUCATION,,,,REGISTERD,12685,18991230,15,,EDUCATIONAL,YES,1109753,,100000,3.181936,6.480726
389,3368,INSTITUTIONAL,I100000387,,MEDIUM,EDUCATION,,,,REGISTERD,12686,18991230,15,,EDUCATIONAL,YES,1109754,,100000,3.182470,6.480920
390,3369,INSTITUTIONAL,I100000388,,MEDIUM,EDUCATION,,,,REGISTERD,12687,18991230,15,,EDUCATIONAL,YES,1109755,,100000,3.182647,6.480751
391,3370,INSTITUTIONAL,I100000389,,MEDIUM,EDUCATION,,,,REGISTERD,12688,18991230,15,,EDUCATIONAL,YES,1109756,,100000,3.182821,6.480734
392,3371,INSTITUTIONAL,I100000390,,MEDIUM,EDUCATION,,,,REGISTERD,12689,18991230,15,,EDUCATIONAL,YES,1109757,,100000,3.182927,6.480677
393,3372,INSTITUTIONAL,I100000391,,MEDIUM,EDUCATION,,,,REGISTERD,12690,18991230,15,,EDUCATIONAL,YES,1109758,,100000,3.182858,6.480824
394,3373,INSTITUTIONAL,I100000392,,MEDIUM,EDUCATION,,,,REGISTERD,12691,18991230,15,,EDUCATIONAL,YES,1109759,,100000,3.183051,6.480935
395,3374,INSTITUTIONAL,I100000393,,MEDIUM,EDUCATION,,,,REGISTERD,12692,18991230,15,,EDUCATIONAL,YES,1109760,,100000,3.181036,6.481574
396,3375,INSTITUTIONAL,I100000394,,MEDIUM,EDUCATION,,,,REGISTERD,12693,18991230,15,,EDUCATIONAL,YES,1109761,,100000,3.180917,6.481620
397,3376,INSTITUTIONAL,I100000395,,MEDIUM,EDUCATION,,,,REGISTERD,12694,18991230,15,,EDUCATIONAL,YES,1109762,,100000,3.180272,6.481499
398,3377,INSTITUTIONAL,I100000396,,MEDIUM,EDUCATION,,,,REGISTERD,12695,18991230,15,,EDUCATIONAL,YES,1109763,,100000,3.180203,6.481677
399,3378,INSTITUTIONAL,I100000397,,MEDIUM,EDUCATION,,,,REGISTERD,12696,18991230,15,,EDUCATIONAL,YES,1109764,,100000,3.179970,6.481387
400,3379,INSTITUTIONAL,I100000398,,MEDIUM,EDUCATION,,,,REGISTERD,12697,18991230,15,,EDUCATIONAL,YES,1109765,,100000,3.181080,6.482125
401,3380,INSTITUTIONAL,I100000399,,MEDIUM,EDUCATION,,,,REGISTERD,12698,18991230,15,,EDUCATIONAL,YES,1109766,,100000,3.180968,6.482344
402,3381,INSTITUTIONAL,I100000400,,MEDIUM,EDUCATION,,,,REGISTERD,12699,18991230,15,,EDUCATIONAL,YES,1109767,,100000,3.180498,6.482312
403,3382,INSTITUTIONAL,I100000401,,MEDIUM,EDUCATION,,,,REGISTERD,12700,18991230,15,,EDUCATIONAL,YES,1109768,,100000,3.180572,6.482171
404,3383,INSTITUTIONAL,I100000402,,MEDIUM,EDUCATION,,,,REGISTERD,12701,18991230,15,,EDUCATIONAL,YES,1109769,,100000,3.180732,6.482048
405,3384,INSTITUTIONAL,I100000403,,MEDIUM,EDUCATION,,,,REGISTERD,12702,18991230,15,,EDUCATIONAL,YES,1109770,,100000,3.180665,6.481986
406,3385,INSTITUTIONAL,I100000404,,MEDIUM,EDUCATION,,,,REGISTERD,12703,18991230,15,,EDUCATIONAL,YES,1109771,,100000,3.180400,6.482083
407,3386,INSTITUTIONAL,I100000405,,MEDIUM,EDUCATION,,,,REGISTERD,12704,18991230,15,,EDUCATIONAL,YES,1109772,,100000,3.180665,6.481913
408,3387,INSTITUTIONAL,I100000406,,MEDIUM,EDUCATION,,,,REGISTERD,12705,18991230,15,,EDUCATIONAL,YES,1109773,,100000,3.180495,6.481874
409,3388,INSTITUTIONAL,I100000407,,MEDIUM,EDUCATION,,,,REGISTERD,12706,18991230,15,,EDUCATIONAL,YES,1109774,,100000,3.180035,6.481833
410,3389,INSTITUTIONAL,I100000408,,MEDIUM,EDUCATION,,,,REGISTERD,12707,18991230,15,,EDUCATIONAL,YES,1109775,,100000,3.179922,6.481840
411,3390,INSTITUTIONAL,I100000409,,MEDIUM,EDUCATION,,,,REGISTERD,12708,18991230,15,,EDUCATIONAL,YES,1109776,,100000,3.179908,6.481765
412,3391,INSTITUTIONAL,I100000410,,MEDIUM,EDUCATION,,,,REGISTERD,12709,18991230,15,,EDUCATIONAL,YES,1109777,,100000,3.179857,6.481671
413,3392,INSTITUTIONAL,I100000411,,MEDIUM,EDUCATION,,,,REGISTERD,12710,18991230,15,,EDUCATIONAL,YES,1109778,,100000,3.179826,6.481543
414,3393,INSTITUTIONAL,I100000412,,MEDIUM,EDUCATION,,,,REGISTERD,12711,18991230,15,,EDUCATIONAL,YES,1109779,,100000,3.179992,6.481979
415,3394,INSTITUTIONAL,I100000413,,MEDIUM,EDUCATION,,,,REGISTERD,12712,18991230,15,,EDUCATIONAL,YES,1109780,,100000,3.180143,6.482025
416,3395,INSTITUTIONAL,I100000414,,MEDIUM,EDUCATION,,,,REGISTERD,12713,18991230,15,,EDUCATIONAL,YES,1109781,,100000,3.179924,6.482107
417,3396,INSTITUTIONAL,I100000415,,MEDIUM,EDUCATION,,,,REGISTERD,12714,18991230,15,,EDUCATIONAL,YES,1109782,,100000,3.180007,6.482193
418,3397,INSTITUTIONAL,I100000416,,MEDIUM,EDUCATION,,,,REGISTERD,12715,18991230,15,,EDUCATIONAL,YES,1109783,,100000,3.180223,6.482318
419,3398,INSTITUTIONAL,I100000417,,MEDIUM,EDUCATION,,,,REGISTERD,12716,18991230,15,,EDUCATIONAL,YES,1109784,,100000,3.180126,6.482311
420,3399,INSTITUTIONAL,I100000418,,MEDIUM,EDUCATION,,,,REGISTERD,12717,18991230,15,,EDUCATIONAL,YES,1109785,,100000,3.179965,6.482315
421,3400,INSTITUTIONAL,I100000419,,MEDIUM,EDUCATION,,,,REGISTERD,12718,18991230,15,,EDUCATIONAL,YES,1109786,,100000,3.180688,6.482207
422,3401,INSTITUTIONAL,I100000420,,MEDIUM,EDUCATION,,,,REGISTERD,12719,18991230,15,,EDUCATIONAL,YES,1109787,,100000,3.181559,6.482192
423,3402,INSTITUTIONAL,I100000421,,MEDIUM,EDUCATION,,,,REGISTERD,12720,18991230,15,,EDUCATIONAL,YES,1109788,,100000,3.181478,6.482250
424,3403,INSTITUTIONAL,I100000422,,MEDIUM,EDUCATION,,,,REGISTERD,12721,18991230,15,,EDUCATIONAL,YES,1109789,,100000,3.180060,6.481534
425,3404,INSTITUTIONAL,I100000423,,MEDIUM,EDUCATION,,,,REGISTERD,12722,18991230,15,,EDUCATIONAL,YES,1109790,,100000,3.181465,6.481760
426,3405,INSTITUTIONAL,I100000424,,MEDIUM,EDUCATION,,,,REGISTERD,12723,18991230,15,,EDUCATIONAL,YES,1109791,,100000,3.181678,6.481668
427,3406,INSTITUTIONAL,I100000425,,MEDIUM,EDUCATION,,,,REGISTERD,12724,18991230,15,,EDUCATIONAL,YES,1109792,,100000,3.181327,6.481239
428,3407,INSTITUTIONAL,I100000426,,MEDIUM,EDUCATION,,,,REGISTERD,12725,18991230,15,,EDUCATIONAL,YES,1109793,,100000,3.181159,6.481611
429,3408,INSTITUTIONAL,I100000427,,MEDIUM,EDUCATION,,,,REGISTERD,12726,18991230,15,,EDUCATIONAL,YES,1109794,,100000,3.181253,6.482290
430,3409,INSTITUTIONAL,I100000428,,MEDIUM,EDUCATION,,,,REGISTERD,12727,18991230,15,,EDUCATIONAL,YES,1109795,,100000,3.180600,6.482069
431,3410,INSTITUTIONAL,I100000429,,MEDIUM,EDUCATION,,,,REGISTERD,12728,18991230,15,,EDUCATIONAL,YES,1109796,,100000,3.181602,6.481489
432,3411,INSTITUTIONAL,I100000430,,MEDIUM,EDUCATION,,,,REGISTERD,12729,18991230,15,,EDUCATIONAL,YES,1109797,,100000,3.178798,6.482386
433,3412,INSTITUTIONAL,I100000431,,MEDIUM,EDUCATION,,,,REGISTERD,12730,18991230,15,,EDUCATIONAL,YES,1109798,,100000,3.178200,6.482558
434,3413,INSTITUTIONAL,I100000432,,MEDIUM,EDUCATION,,,,REGISTERD,12731,18991230,15,,EDUCATIONAL,YES,1109799,,100000,3.178261,6.482688
435,3414,INSTITUTIONAL,I100000433,,MEDIUM,EDUCATION,,,,REGISTERD,12732,18991230,15,,EDUCATIONAL,YES,1109800,,100000,3.177973,6.482706
436,3415,INSTITUTIONAL,I100000434,,MEDIUM,EDUCATION,,,,REGISTERD,12733,18991230,15,,EDUCATIONAL,YES,1109801,,100000,3.177915,6.482445
437,3416,INSTITUTIONAL,I100000435,,MEDIUM,EDUCATION,,,,REGISTERD,12734,18991230,15,,EDUCATIONAL,YES,1109802,,100000,3.178711,6.482608
438,3417,INSTITUTIONAL,I100000436,,MEDIUM,EDUCATION,,,,REGISTERD,12735,18991230,15,,EDUCATIONAL,YES,1109803,,100000,3.177490,6.482489
439,3418,INSTITUTIONAL,I100000437,,MEDIUM,EDUCATION,,,,REGISTERD,12736,18991230,15,,EDUCATIONAL,YES,1109804,,100000,3.176331,6.482403
440,3419,INSTITUTIONAL,I100000438,,MEDIUM,EDUCATION,,,,REGISTERD,12737,18991230,15,,EDUCATIONAL,YES,1109805,,100000,3.176912,6.482483
441,3420,INSTITUTIONAL,I100000439,,MEDIUM,EDUCATION,,,,REGISTERD,12738,18991230,15,,EDUCATIONAL,YES,1109806,,100000,3.176653,6.482644
442,3421,INSTITUTIONAL,I100000440,,MEDIUM,EDUCATION,,,,REGISTERD,12739,18991230,15,,EDUCATIONAL,YES,1109807,,100000,3.177773,6.482666
443,3422,INSTITUTIONAL,I100000441,,MEDIUM,EDUCATION,,,,REGISTERD,12740,18991230,15,,EDUCATIONAL,YES,1109808,,100000,3.177106,6.482606
444,3423,INSTITUTIONAL,I100000442,,MEDIUM,EDUCATION,,,,REGISTERD,12741,18991230,15,,EDUCATIONAL,YES,1109809,,100000,3.175334,6.482784
445,3424,INSTITUTIONAL,I100000443,,MEDIUM,EDUCATION,,,,REGISTERD,12742,18991230,15,,EDUCATIONAL,YES,1109810,,100000,3.175332,6.482618
446,3425,INSTITUTIONAL,I100000444,,MEDIUM,EDUCATION,,,,REGISTERD,12743,18991230,15,,EDUCATIONAL,YES,1109811,,100000,3.187011,6.483485
447,3426,INSTITUTIONAL,I100000445,,MEDIUM,EDUCATION,,,,REGISTERD,12744,18991230,15,,EDUCATIONAL,YES,1109812,,100000,3.187014,6.483338
448,3427,INSTITUTIONAL,I100000446,,MEDIUM,EDUCATION,,,,REGISTERD,12745,18991230,15,,EDUCATIONAL,YES,1109813,,100000,3.186950,6.483259
449,3428,INSTITUTIONAL,I100000447,,MEDIUM,EDUCATION,,,,REGISTERD,12746,18991230,15,,EDUCATIONAL,YES,1109814,,100000,3.187043,6.483215
450,3429,INSTITUTIONAL,I100000448,,MEDIUM,EDUCATION,,,,REGISTERD,12747,18991230,15,,EDUCATIONAL,YES,1109815,,100000,3.186934,6.483173
451,3430,INSTITUTIONAL,I100000449,,MEDIUM,EDUCATION,,,,REGISTERD,12748,18991230,15,,EDUCATIONAL,YES,1109816,,100000,3.186889,6.483012
452,3431,INSTITUTIONAL,I100000450,,MEDIUM,EDUCATION,,,,REGISTERD,12749,18991230,15,,EDUCATIONAL,YES,1109817,,100000,3.187046,6.483181
453,3432,INSTITUTIONAL,I100000451,,MEDIUM,EDUCATION,,,,REGISTERD,12750,18991230,15,,EDUCATIONAL,YES,1109818,,100000,3.187015,6.482989
454,3433,INSTITUTIONAL,I100000452,,MEDIUM,EDUCATION,,,,REGISTERD,12751,18991230,15,,EDUCATIONAL,YES,1109819,,100000,3.190217,6.471875
455,3434,INSTITUTIONAL,I100000453,,MEDIUM,EDUCATION,,,,REGISTERD,12752,18991230,15,,EDUCATIONAL,YES,1109820,,100000,3.190383,6.471966
456,3435,INSTITUTIONAL,I100000454,,MEDIUM,EDUCATION,,,,REGISTERD,12753,18991230,15,,EDUCATIONAL,YES,1109821,,100000,3.190249,6.472120
457,3436,INSTITUTIONAL,I100000455,,MEDIUM,EDUCATION,,,,REGISTERD,12754,18991230,15,,EDUCATIONAL,YES,1109822,,100000,3.190299,6.472186
458,3437,INSTITUTIONAL,I100000456,,MEDIUM,EDUCATION,,,,REGISTERD,12755,18991230,15,,EDUCATIONAL,YES,1109823,,100000,3.190359,6.472191
459,3438,INSTITUTIONAL,I100000457,,MEDIUM,EDUCATION,,,,REGISTERD,12756,18991230,15,,EDUCATIONAL,YES,1109824,,100000,3.190464,6.472247
460,3439,INSTITUTIONAL,I100000458,,MEDIUM,EDUCATION,,,,REGISTERD,12757,18991230,15,,EDUCATIONAL,YES,1109825,,100000,3.190358,6.472317
461,3440,INSTITUTIONAL,I100000459,,MEDIUM,EDUCATION,,,,REGISTERD,12758,18991230,15,,EDUCATIONAL,YES,1109826,,100000,3.190255,6.472361
462,3441,INSTITUTIONAL,I100000460,,MEDIUM,EDUCATION,,,,REGISTERD,12759,18991230,15,,EDUCATIONAL,YES,1109827,,100000,3.190206,6.472294
463,3442,INSTITUTIONAL,I100000461,,MEDIUM,EDUCATION,,,,REGISTERD,12760,18991230,15,,EDUCATIONAL,YES,1109828,,100000,3.190222,6.471647
464,3443,INSTITUTIONAL,I100000462,,MEDIUM,EDUCATION,,,,REGISTERD,12761,18991230,15,,EDUCATIONAL,YES,1109829,,100000,3.190183,6.471565
465,3444,INSTITUTIONAL,I100000463,,MEDIUM,EDUCATION,,,,REGISTERD,12762,18991230,15,,EDUCATIONAL,YES,1109830,,100000,3.190044,6.471661
466,3445,INSTITUTIONAL,I100000464,,MEDIUM,EDUCATION,,,,REGISTERD,12763,18991230,15,,EDUCATIONAL,YES,1109831,,100000,3.189963,6.471804
467,3446,INSTITUTIONAL,I100000465,,MEDIUM,EDUCATION,,,,REGISTERD,12764,18991230,15,,EDUCATIONAL,YES,1109832,,100000,3.189810,6.471708
468,3447,INSTITUTIONAL,I100000466,,MEDIUM,EDUCATION,,,,REGISTERD,12765,18991230,15,,EDUCATIONAL,YES,1109833,,100000,3.189786,6.471461
469,3448,INSTITUTIONAL,I100000467,,MEDIUM,EDUCATION,,,,REGISTERD,12766,18991230,15,,EDUCATIONAL,YES,1109834,,100000,3.189870,6.471317
470,3449,INSTITUTIONAL,I100000468,,MEDIUM,EDUCATION,,,,REGISTERD,12767,18991230,15,,EDUCATIONAL,YES,1109835,,100000,3.189915,6.471023
471,3450,INSTITUTIONAL,I100000469,,MEDIUM,EDUCATION,,,,REGISTERD,12768,18991230,15,,EDUCATIONAL,YES,1109836,,100000,3.189947,6.471019
472,3451,INSTITUTIONAL,I100000470,,MEDIUM,EDUCATION,,,,REGISTERD,12769,18991230,15,,EDUCATIONAL,YES,1109837,,100000,3.190217,6.471312
473,3452,INSTITUTIONAL,I100000471,,MEDIUM,EDUCATION,,,,REGISTERD,12770,18991230,15,,EDUCATIONAL,YES,1109838,,100000,3.190204,6.471182
474,3453,INSTITUTIONAL,I100000472,,MEDIUM,EDUCATION,,,,REGISTERD,12771,18991230,15,,EDUCATIONAL,YES,1109839,,100000,3.190088,6.471415
475,3454,INSTITUTIONAL,I100000473,,MEDIUM,EDUCATION,,,,REGISTERD,12772,18991230,15,,EDUCATIONAL,YES,1109840,,100000,3.189946,6.470941
476,3455,INSTITUTIONAL,I100000474,,MEDIUM,EDUCATION,,,,REGISTERD,12773,18991230,15,,EDUCATIONAL,YES,1109841,,100000,3.190038,6.470918
477,3456,INSTITUTIONAL,I100000475,,MEDIUM,EDUCATION,,,,REGISTERD,12774,18991230,15,,EDUCATIONAL,YES,1109842,,100000,3.190069,6.470917
478,3457,INSTITUTIONAL,I100000476,,MEDIUM,EDUCATION,,,,REGISTERD,12775,18991230,15,,EDUCATIONAL,YES,1109843,,100000,3.190102,6.470904
479,3458,INSTITUTIONAL,I100000477,,MEDIUM,EDUCATION,,,,REGISTERD,12776,18991230,15,,EDUCATIONAL,YES,1109844,,100000,3.190148,6.470892
480,3459,INSTITUTIONAL,I100000478,,MEDIUM,EDUCATION,,,,REGISTERD,12777,18991230,15,,EDUCATIONAL,YES,1109845,,100000,3.190174,6.470815
481,3460,INSTITUTIONAL,I100000479,,MEDIUM,EDUCATION,,,,REGISTERD,12778,18991230,15,,EDUCATIONAL,YES,1109846,,100000,3.190306,6.470761
482,3461,INSTITUTIONAL,I100000480,,MEDIUM,EDUCATION,,,,REGISTERD,12779,18991230,15,,EDUCATIONAL,YES,1109847,,100000,3.190495,6.470659
483,3462,INSTITUTIONAL,I100000481,,MEDIUM,EDUCATION,,,,REGISTERD,12780,18991230,15,,EDUCATIONAL,YES,1109848,,100000,3.190314,6.470638
484,3463,INSTITUTIONAL,I100000482,,MEDIUM,EDUCATION,,,,REGISTERD,12781,18991230,15,,EDUCATIONAL,YES,1109849,,100000,3.190566,6.470498
485,3464,INSTITUTIONAL,I100000483,,MEDIUM,EDUCATION,,,,REGISTERD,12782,18991230,15,,EDUCATIONAL,YES,1109850,,100000,3.190806,6.470466
486,3465,INSTITUTIONAL,I100000484,,MEDIUM,EDUCATION,,,,REGISTERD,12783,18991230,15,,EDUCATIONAL,YES,1109851,,100000,3.196093,6.472821
487,3466,INSTITUTIONAL,I100000485,,MEDIUM,EDUCATION,,,,REGISTERD,12784,18991230,15,,EDUCATIONAL,YES,1109852,,100000,3.195962,6.472889
488,3467,INSTITUTIONAL,I100000486,,MEDIUM,EDUCATION,,,,REGISTERD,12785,18991230,15,,EDUCATIONAL,YES,1109853,,100000,3.195940,6.472937
489,3468,INSTITUTIONAL,I100000487,,MEDIUM,EDUCATION,,,,REGISTERD,12786,18991230,15,,EDUCATIONAL,YES,1109854,,100000,3.196026,6.472976
490,3469,INSTITUTIONAL,I100000488,,MEDIUM,EDUCATION,,,,REGISTERD,12787,18991230,15,,EDUCATIONAL,YES,1109855,,100000,3.196120,6.472994
491,3470,INSTITUTIONAL,I100000489,,MEDIUM,EDUCATION,,,,REGISTERD,12788,18991230,15,,EDUCATIONAL,YES,1109856,,100000,3.196245,6.473073
492,3471,INSTITUTIONAL,I100000490,,MEDIUM,EDUCATION,,,,REGISTERD,12789,18991230,15,,EDUCATIONAL,YES,1109857,,100000,3.196111,6.473084
493,3472,INSTITUTIONAL,I100000491,,MEDIUM,EDUCATION,,,,REGISTERD,12790,18991230,15,,EDUCATIONAL,YES,1109858,,100000,3.196291,6.473178
494,3473,INSTITUTIONAL,I100000492,,MEDIUM,EDUCATION,,,,REGISTERD,12791,18991230,15,,EDUCATIONAL,YES,1109859,,100000,3.196395,6.473123
495,3474,INSTITUTIONAL,I100000493,,MEDIUM,EDUCATION,,,,REGISTERD,12792,18991230,15,,EDUCATIONAL,YES,1109860,,100000,3.196270,6.472998
496,3475,INSTITUTIONAL,I100000494,,MEDIUM,EDUCATION,,,,REGISTERD,12793,18991230,15,,EDUCATIONAL,YES,1109861,,100000,3.196376,6.472946
497,3476,INSTITUTIONAL,I100000495,,MEDIUM,EDUCATION,,,,REGISTERD,12794,18991230,15,,EDUCATIONAL,YES,1109862,,100000,3.196234,6.472883
498,3477,INSTITUTIONAL,I100000496,,MEDIUM,EDUCATION,,,,REGISTERD,12795,18991230,15,,EDUCATIONAL,YES,1109863,,100000,3.196398,6.472870
499,3478,INSTITUTIONAL,I100000497,,MEDIUM,EDUCATION,,,,REGISTERD,12796,18991230,15,,EDUCATIONAL,YES,1109864,,100000,3.196398,6.473475
500,3479,INSTITUTIONAL,I100000498,,MEDIUM,EDUCATION,,,,REGISTERD,12797,18991230,15,,EDUCATIONAL,YES,1109865,,100000,3.196241,6.473752
501,3480,INSTITUTIONAL,I100000499,,MEDIUM,EDUCATION,,,,REGISTERD,12798,18991230,15,,EDUCATIONAL,YES,1109866,,100000,3.195784,6.473697
502,3481,INSTITUTIONAL,I100000500,,MEDIUM,EDUCATION,,,,REGISTERD,12799,18991230,15,,EDUCATIONAL,YES,1109867,,100000,3.196070,6.473849
503,3482,INSTITUTIONAL,I100000501,,MEDIUM,EDUCATION,,,,REGISTERD,12800,18991230,15,,EDUCATIONAL,YES,1109868,,100000,3.195913,6.473890
504,3483,INSTITUTIONAL,I100000502,,MEDIUM,EDUCATION,,,,REGISTERD,12801,18991230,15,,EDUCATIONAL,YES,1109869,,100000,3.195842,6.473815
505,3484,INSTITUTIONAL,I100000503,,MEDIUM,EDUCATION,,,,REGISTERD,12802,18991230,15,,EDUCATIONAL,YES,1109870,,100000,3.195405,6.473802
506,3485,INSTITUTIONAL,I100000504,,MEDIUM,EDUCATION,,,,REGISTERD,12803,18991230,15,,EDUCATIONAL,YES,1109871,,100000,3.195054,6.474103
507,3486,INSTITUTIONAL,I100000505,,MEDIUM,EDUCATION,,,,REGISTERD,12804,18991230,15,,EDUCATIONAL,YES,1109872,,100000,3.194887,6.474258
508,3487,INSTITUTIONAL,I100000506,,MEDIUM,EDUCATION,,,,REGISTERD,12805,18991230,15,,EDUCATIONAL,YES,1109873,,100000,3.195765,6.474239
509,3488,INSTITUTIONAL,I100000507,,MEDIUM,EDUCATION,,,,REGISTERD,12806,18991230,15,,EDUCATIONAL,YES,1109874,,100000,3.195003,6.474237
510,3489,INSTITUTIONAL,I100000508,,MEDIUM,EDUCATION,,,,REGISTERD,12807,18991230,15,,EDUCATIONAL,YES,1109875,,100000,3.195208,6.474023
511,3490,INSTITUTIONAL,I100000509,,MEDIUM,EDUCATION,,,,REGISTERD,12808,18991230,15,,EDUCATIONAL,YES,1109876,,100000,3.194975,6.473851
512,3491,INSTITUTIONAL,I100000510,,MEDIUM,EDUCATION,,,,REGISTERD,12809,18991230,15,,EDUCATIONAL,YES,1109877,,100000,3.195527,6.474218
513,3492,INSTITUTIONAL,I100000511,,MEDIUM,EDUCATION,,,,REGISTERD,12810,18991230,15,,EDUCATIONAL,YES,1109878,,100000,3.195606,6.473776
514,3493,INSTITUTIONAL,I100000512,,MEDIUM,EDUCATION,,,,REGISTERD,12811,18991230,15,,EDUCATIONAL,YES,1109879,,100000,3.196017,6.473173
515,3494,INSTITUTIONAL,I100000513,,MEDIUM,EDUCATION,,,,REGISTERD,12812,18991230,15,,EDUCATIONAL,YES,1109880,,100000,3.196453,6.473232
516,3495,INSTITUTIONAL,I100000514,,MEDIUM,EDUCATION,,,,REGISTERD,12813,18991230,15,,EDUCATIONAL,YES,1109881,,100000,3.195165,6.473280
517,3496,INSTITUTIONAL,I100000515,,MEDIUM,EDUCATION,,,,REGISTERD,12814,18991230,15,,EDUCATIONAL,YES,1109882,,100000,3.195155,6.473127
518,3497,INSTITUTIONAL,I100000516,,MEDIUM,EDUCATION,,,,REGISTERD,12815,18991230,15,,EDUCATIONAL,YES,1109883,,100000,3.195305,6.473200
